StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       04,      00,   201207,    .26,   74.7,  -1.74,  -1.74,   -.24,  -1.16,    211,      4,     .8,    .36,   -.91,   -.04,   -.99,   -.94,    .13,   59.7,   89.6,
       04,      00,   201208,     .3,   77.8,  -1.58,  -1.58,   -.06,   -.99,    335,      0,    .56,    .78,    .43,    .82,   -.84,    -.9,    .16,   62.7,   92.8,
       04,      00,   201209,     .1,   73.1,  -1.89,  -1.89,  -1.39,  -1.68,    232,      7,   -.97,   -.42,    -.2,    .14,   -.26,   -.93,    .15,   57.8,   88.3,
       04,      00,   201210,    .99,   62.2,  -1.97,  -1.97,   -.85,  -1.97,     56,     99,   -.08,    -.5,   -.41,     -1,   -.18,  -1.08,   -.09,   48.9,   75.4,
       04,      00,   201211,   3.57,   52.5,    .24,  -1.53,    .73,  -1.12,      7,    290,    .74,    .54,    .39,    .45,    .78,   -.72,    .02,   41.4,   63.6,
       04,      00,   201212,   6.15,     43,   1.08,   1.08,   2.59,   1.08,      0,    558,    1.1,   1.15,   1.02,    .98,    .95,    .31,   -.21,   34.3,   51.8,
       04,      00,   201301,   1.19,   42.1,    -.8,    -.8,  -2.39,    -.8,      0,    574,  -1.32,    .02,    .21,     .1,   -.04,   -.05,   -.28,     31,   53.2,
       04,      00,   201302,    .58,   45.3,  -1.66,  -1.66,  -2.84,  -1.66,      0,    475,  -1.64,  -2.31,   -.77,   -.58,   -.55,   -.19,   -.55,   33.1,   57.6,
       04,      00,   201303,   1.33,   53.8,  -2.43,  -2.43,  -2.84,  -2.43,      8,    317,   -.98,  -1.98,  -2.38,    -.8,   -.84,   -.78,  -1.17,     41,   66.5,
       04,      00,   201304,    .71,   58.2,  -2.83,  -2.83,  -1.95,  -2.83,     22,    219,   -.84,  -1.39,  -2.16,   -.92,     -1,  -1.11,   -1.2,   44.7,   71.7,
       04,      00,   201305,    .62,   63.8,  -2.98,  -2.98,  -1.31,  -2.98,     64,    112,   -.23,   -.95,  -1.47,  -1.32,  -1.06,  -1.03,  -1.34,   50.1,   77.5,
       04,      00,   201306,    .38,   72.4,  -3.28,  -3.28,  -1.82,  -3.28,    161,     22,    .37,   -.13,   -.82,  -2.54,   -.95,     -1,   -1.4,   57.6,   87.2,
       04,      00,   201307,    .28,     78,  -3.51,  -3.51,  -1.72,  -3.51,    289,      0,    .93,     .6,    .03,  -2.27,   -.91,   -.99,   -1.4,   63.4,   92.7,
       04,      00,   201308,    .38,   74.4,  -3.23,  -3.23,   -.24,  -3.23,    235,      2,    .91,   1.09,    .82,  -1.19,  -1.24,   -.98,  -1.37,   59.8,     89,
       04,      00,   201309,    .77,   69.3,  -2.61,  -2.61,    .87,   -2.2,    161,     21,   1.03,   1.12,   1.22,   -.24,  -2.39,   -.82,  -1.29,   55.6,   83.1,
       04,      00,   201310,    .26,   58.5,  -2.93,  -2.93,  -1.77,  -2.93,     20,    166,  -1.22,   -.58,   -.39,   -.51,  -2.17,  -1.01,  -1.43,   44.5,   72.5,
       04,      00,   201311,    .99,   51.9,   -3.4,   -3.4,  -2.32,   -3.4,      5,    302,   -.93,  -1.49,  -1.22,   -.96,  -1.76,  -1.63,  -1.55,   40.2,   63.7,
       04,      00,   201312,    .44,   44.1,  -4.37,  -4.37,  -3.95,  -4.37,      0,    497,  -1.82,  -1.76,  -1.99,  -1.83,  -2.15,  -3.09,  -1.58,     32,   56.2,
       04,      00,   201401,    .54,   50.1,  -5.88,  -5.88,  -5.89,  -5.88,     10,    339,  -1.93,  -2.67,  -2.32,  -2.44,  -2.37,  -3.09,  -1.84,   37.2,     63,
       04,      00,   201402,   4.02,   49.8,  -5.87,  -5.87,  -1.79,  -5.87,      3,    351,    .29,   -.86,  -1.68,  -1.97,  -1.87,  -2.26,  -1.48,     39,   60.6,
